# epoch_start_s=1609461127
timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,wind_vane_deg
# wind_vane_deg is blank for the first 270 s, populated for the final 30 s
0.110,1.160668,2.5039122,8.379881,-0.2888589,0.114906092,-0.022577886,-3456.0,21244.5,-25725.5,
0.226,-0.055586456,0.30124656,11.322355,-0.216247868,0.051488028,-0.023643736,-6528.0,24828.5,-23933.5,
0.345,0.7536537,1.2206199,9.823585,0.05647649,-0.024720244,0.0048677484,-7552.0,26364.5,-24189.5,
0.461,0.37297564,1.1176694,9.840344,-0.00933975,0.0049903208,-0.00339258784,-7040.0,25852.5,-24957.5,
0.584,0.5381756,1.1511881,9.871469,-0.0026781856,0.0008601546,-0.0024599694,-6784.0,26620.5,-25213.5,
0.700,0.8446334,1.1416113,9.538674,-0.011604682,0.023642694,-0.0047249004,-7040.0,26108.5,-25725.5,
0.816,0.70576968,1.1535823,9.723028,-0.0032111108,0.003924474,-6.180722e-05,-6784.0,25852.5,-26493.5,
0.931,0.6554915,1.2038605,9.804431,-0.006142199,0.0032583176,0.000337886632,-7040.0,26108.5,-24701.5,
1.049,0.602819,1.1152752,9.85471,-0.00081294776,-0.0024706236,-6.180722e-05,-7296.0,26620.5,-24445.5,
1.169,0.6123958,1.1799185,9.895411,-0.0005464852,0.00019399822,0.0006043492,-6528.0,27132.5,-24445.5,
1.285,0.5836654,1.1775243,9.897805,-0.0058757364,0.0013930798,-0.0045916692,-7040.0,26364.5,-24957.5,
1.401,0.602819,1.1679475,9.909776,-0.00414373,0.0055232496,-0.0012608878,-7040.0,27132.5,-24957.5,
1.515,0.492685736,1.0338724,9.900199,-0.006675124,-0.0004721582,0.0020698932,-7296.0,26364.5,-25213.5,
1.631,0.70337544,1.2589274,9.928929,0.0002528876,0.0016595423,-0.002726432,-6784.0,25852.5,-26493.5,
1.753,0.5956364,1.1224578,9.83795,0.0010522902,0.008720797,0.0012705056,-7040.0,26620.5,-25213.5,
1.869,0.6339436,1.1607649,9.799643,-0.003344342,0.003791239,0.00047111884,-7040.0,26108.5,-25469.5,
1.984,0.5740886,1.1152752,9.885834,-0.007607743,-0.0028703212,-0.0012608878,-7296.0,26364.5,-25213.5,
2.100,0.5812712,1.1392171,9.873863,-0.0030778944,-0.0023373962,-0.0040587444,-7296.0,25852.5,-24701.5,
2.217,0.5740886,1.1823127,9.885834,0.00185167792,0.0035247804,-0.0025932006,-6784.0,26108.5,-25213.5,
2.342,0.6411262,1.0937274,9.881045,-0.00081294776,-0.0052684844,0.0030025114,-7040.0,25852.5,-25981.5,
2.459,0.70098132,1.1751301,9.732605,-0.0037440508,0.00698879,-0.0011276575,-6528.0,26108.5,-25725.5,
2.575,0.66746248,1.076968,9.799643,-0.0004132688,0.009520184,0.0016701994,-6272.0,26108.5,-24957.5,
2.690,0.6291552,1.1607649,9.926536,-1.3560057e-05,0.0016595423,-0.0009944253,-6784.0,26876.5,-24445.5,
2.807,0.6483089,1.1272462,9.830768,-0.002411738,0.0049903208,-0.0019270442,-6784.0,26108.5,-24957.5,
2.929,0.6363378,1.1487939,9.76373,-0.0050763636,0.0059229432,-0.0019270442,-7040.0,25852.5,-25213.5,
3.045,0.5932422,1.124852,9.890622,-0.0020120292,0.006056171,-0.0001950385,-7296.0,25852.5,-24957.5,
3.159,0.6459147,1.1344287,9.926536,-0.0053428112,0.0035247804,-0.0020602756,-6784.0,25852.5,-24701.5,
3.278,0.6052132,1.1727359,9.818796,-0.003344342,0.0057897084,-0.0008611949,-6784.0,25596.5,-25213.5,
3.393,0.6411262,1.1344287,9.873863,-0.0062754304,-0.0024706236,-0.002326738,-6272.0,26364.5,-25725.5,
3.515,0.6411262,1.1440055,9.861892,-0.0012126416,-0.000205695632,-0.0011276575,-6784.0,25596.5,-25725.5,
3.633,0.6339436,1.1463997,9.847527,-0.0012126416,-0.0012715459,0.0012705056,-7040.0,25084.5,-26749.5,
3.750,0.6291552,1.1176694,9.897805,-0.0014791042,0.0020592324,-0.003925513,-6784.0,26620.5,-25469.5,
3.866,0.5980306,1.1152752,9.88344,-0.0092065184,0.0021924674,-6.180722e-05,-7040.0,26108.5,-26237.5,
3.981,0.66506824,1.1703417,9.876257,-0.00414373,0.00059369208,0.001004043,-7040.0,25852.5,-26237.5,
