# epoch_start_s=1774536722
timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0.051,-1.6448165,-0.055066636,9.981427,-0.1590781,-0.04303369,0.012523737,18816,26112,-7938
0.166,-1.7477672,-0.23463176,9.799467,-0.14708729,-0.060486984,0.027445634,19328,24576,-9474
0.282,-1.5969325,-0.33279404,9.974244,-0.16520673,-0.029710566,0.019052068,18816,24832,-8962
0.398,-1.7022774,-0.25617956,9.935937,-0.22009802,0.056356816,0.06541654,18560,24832,-9218
0.513,-1.84114116,-0.181959332,9.921572,-0.12150689,0.027045942,0.08966462,17280,24320,-10498
0.637,-2.1092918,-0.1436521,9.746795,-0.3964962,-0.039702908,0.087666152,15488,25088,-10754
0.754,-1.5921441,-0.3878607,10.529699,-0.392366032,-0.1637412,-0.0031975498,15232,27136,-11522
0.871,-1.3479356,-0.8379706,9.662998,-0.6757488,-0.3766447,-0.13456355,18304,32512,-12290
0.985,-0.9672575,-1.5442602,9.255983,-0.811911136,-0.5799556,-0.066215924,22912,-22784,-16642
1.100,-0.7086837,-1.83874684,9.186552,-0.61566156,-0.50814396,-0.028111792,27520,-15616,-18434
1.221,-0.29688102,-2.3989902,8.963891,-0.32055438,-0.09326187,0.0037304748,30080,-11520,-20226
1.337,-0.50996492,-2.5570072,9.337387,0.0528928,-0.0763415,-0.077673816,30080,-10496,-19202
1.450,-0.7541735,-2.4899698,9.725247,0.2222297,0.12763554,0.05395865,29568,-13824,-16642
1.564,-0.2801216,-1.6591818,10.31901,0.3807749,0.07607503,-0.008526799,27264,-19456,-13826
1.678,-1.0893618,-1.1372458,10.0029748,0.46244564,-0.08313629,-0.057555896,25216,-27136,-10754
1.795,-0.8595184,-0.6368576,10.383653,0.042367532,-0.24421286,0.02917764,26752,30720,-5378
1.915,-0.78290397,-0.12210429,9.969456,0.172267984,0.066215924,-0.06741501,27776,23552,-5122
2.033,-0.4429273,0.2777274,10.024523,0.09605972,-0.13536294,-0.11124808,27520,17920,-6914
2.147,-0.7757214,0.6871359,9.461885,-0.11337979,0.2784533,-0.053026036,26752,14592,-8706
2.261,-0.9672575,0.60573304,9.878476,-0.35945788,-0.08366922,0.048362936,24704,14848,-9474
2.375,-0.5674258,0.34715924,9.727641,-0.42700612,-0.04729709,0.14775344,22912,17152,-11778
2.489,-0.8499416,0.22744916,9.775525,-0.35666,-0.0105252684,0.133098,22400,21504,-12290
2.608,-0.7733272,-0.007182605,9.677363,-0.52040124,-0.03224196,0.182926492,21888,24576,-13826
