# epoch_start_s=1609459202
timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,wind_vane_deg
# wind_vane_deg is blank for the first 270 s, populated for the final 30 s
0.118,-1.5830872,-1.4944048,5.6433088,-0.6464515,0.981042464,-0.07240637,3200.0,-23811.5,-21118.5,
0.235,-5.521549,-1.7003062,8.3990344,0.18224678,-0.5973481,0.10292595,-4480.0,-18436.5,-20350.5,
0.351,-4.1736136,-1.2525904,8.748589,1.3056526,-1.0290174,0.19299024,4480.0,-27395.5,-20606.5,
0.468,-2.5599216,1.1703417,7.1851748,2.084922,-0.45292544,0.23535778,17536.0,18172.5,-30078.5,
0.591,-2.0834754,4.227737,4.8220972,1.82805232,0.074004104,0.21084324,26752.0,-9475.5,11648.5,
0.709,-1.6501248,5.4200496,3.9242716,0.755540836,0.108777452,0.1326365,31360.0,-24835.5,-9087.5,
0.827,-0.9893251,5.534971,3.8620224,-0.67189864,-0.15128992,0.049366984,-32128.0,-27395.5,-16255.5,
0.943,0.07848883,6.13831,6.08863,-2.1427718,0.010186341,-0.093856592,32384.0,-18691.5,-895.5,
1.057,-0.61343544,4.5150412,8.480437,-3.1587932,-0.021522694,-0.19604496,28544.0,7164.5,26753.5,
1.180,-0.81694264,-0.029153272,10.029486,-3.3537104,-0.15661916,-0.21443088,23936.0,-13827.5,-11902.5,
1.297,-1.4059162,-5.624403,9.198698,-2.2850626,-0.5027539,-0.167799952,23424.0,-30723.5,-8829.5,
1.413,0.6243668,-8.835027,10.644796,-0.30031676,-0.63225468,0.00939761,29824.0,764.5,-16508.5,
1.528,1.9507546,-8.674615,11.415729,1.762236,-0.31982744,0.15368703,-28800.0,-1283.5,-18301.5,
1.645,1.3210795,-3.9891628,10.889005,3.2686816,-0.05203265,0.26240376,-25728.0,32764.5,-13181.5,
1.767,-0.024461806,1.7521329,9.450089,3.328769,-0.0089989568,0.2506794,-21376.0,-20483.5,-20862.5,
1.883,-0.029250264,5.0250064,6.9361776,1.9474274,-0.24042164,0.11944661,-14976.0,4092.5,20865.5,
2.001,0.18383372,7.1295096,7.910618,0.175318752,-0.24628378,-0.049490592,-8832.0,-12035.5,1152.5,
2.119,-0.34528488,6.0712724,7.747812,-1.3495129,-0.23229452,-0.188850492,-8320.0,-9475.5,896.5,
2.237,-0.69004992,3.0737322,7.520363,-2.3759262,-0.448928536,-0.27318584,-9344.0,6908.5,19585.5,
2.354,-0.64695424,-0.4792632,7.5778236,-2.5675128,-0.63212144,-0.29543546,-9088.0,-28675.5,-25982.5,
2.477,-1.7363162,-2.4927866,8.849145,-1.68325716,-0.7986605,-0.20763608,-2944.0,8444.5,-17277.5,
2.594,4.304255,-7.2716136,10.565787,-0.11046226,-0.097864192,-0.12436655,5504.0,27133.5,-21629.5,
2.711,5.005756,-6.4504024,11.679091,1.4283586,0.844213936,0.0187237968,4224.0,23549.5,-22141.5,
2.830,3.93554784,-2.212665,10.03188,2.4330552,1.7158126,0.07294891,-7552.0,-1795.5,-17022.5,
2.946,0.82069132,2.6044686,7.278548,2.3461886,2.1466824,0.047368516,-26496.0,28156.5,-24958.5,
3.070,-1.1760728,4.1894296,4.759848,1.2211839,1.91326132,-0.09052581,17024.0,-1283.5,19328.5,
3.187,-3.3787384,4.984305,4.1349616,-0.03438723,1.0996182,-0.15634206,2176.0,-11267.5,384.5,
3.303,-5.260581,5.2189364,5.1046132,-1.1500657,-0.0452378536,-0.21203272,-7040.0,-9220.5,-2175.5,
3.421,-6.376279,4.2133716,6.8404092,-2.1778114,-1.6686606,-0.27238644,-8064.0,6395.5,16257.5,
3.539,-4.1281236,0.7633275,10.13962,-2.5528574,-3.0396102,-0.2653252,7808.0,-28931.5,-21118.5,
3.661,1.8693516,1.6012981,11.418123,-1.80023408,-3.39453832,-0.29716744,-18560.0,11004.5,-11901.5,
3.781,6.858868,-6.409701,10.170744,-0.09407483,-1.7785764,-0.06774328,19328.0,-32002.5,-30589.5,
3.895,7.502908,-5.5717308,9.107718,1.3373616,0.0105860344,0.013661011,-28800.0,31741.5,19074.5,
4.012,5.568393,-2.4305374,8.0327216,2.4094734,1.7239398,0.070284284,-30848.0,11773.5,21890.5,
4.129,1.9651198,1.3379359,7.52993968,2.4800858,2.6785416,0.046169432,15744.0,-18690.5,31105.5,
4.247,1.397694,3.3011812,6.433395,1.70867692,2.6031324,-0.03710009,-13184.0,15868.5,27777.5,
4.370,-4.7793464,6.612362,5.0830656,0.38382564,1.6438678,-0.18045692,25728.0,-4867.5,14720.5,
4.486,-5.282129,5.4655396,5.2865724,-0.8316429,0.28650792,-0.2004416,10624.0,-7427.5,9600.5,
4.601,-5.2533984,4.0529604,6.490856,-1.9097502,-1.1501246,-0.25946304,7296.0,3836.5,20865.5,
4.718,-3.433805,1.0171128,8.992797,-2.3679324,-2.3665256,-0.28051356,17024.0,29948.5,-23934.5,
4.834,0.28199598,-2.267732,10.402982,-1.771989,-2.622596,-0.24001128,-18304.0,1276.5,-13693.5,
4.955,4.581982,-4.8031916,10.920129,0.09471385,-1.6121706,-0.17965752,12160.0,21757.5,-27005.5,
5.071,6.8612624,-4.0346528,10.877033,1.5469342,0.043094456,-0.1058474,28800.0,16381.5,26242.5,
5.188,5.676132,-0.4553212,9.593741,2.283037,1.6050975,-0.09851969,27008.0,-6914.5,25729.5,
5.303,2.0656762,3.3299116,7.2234816,2.2304106,2.6360408,-0.16899902,8320.0,29949.5,27265.5,
5.420,0.13834387,5.1111976,4.3959292,1.544403,2.7230408,-0.3247463,-20352.0,4092.5,19585.5,
5.536,-2.2247334,6.4375852,1.3433223,1.0531794,1.6690484,-0.378971468,20096.0,-12547.5,4480.5,
5.661,-7.712243,8.467869,1.5348585,0.60565568,-0.17100814,-0.43772644,6784.0,-20483.5,-14463.5,
5.777,-7.2118552,8.381678,3.6249966,-0.5626491,-1.74033884,-0.484224136,4224.0,-23043.5,-17279.5,
5.896,-7.06580932,7.04571236,7.6233132,-2.05364,-3.4050632,-0.5598995,11904.0,-13315.5,2176.5,
6.013,-2.126571,3.4831408,11.549804,-1.8392708,-3.1195486,-0.5159332,-30336.0,9212.5,28545.5,
6.129,4.043287,6.495046,10.572969,-1.3718957,-1.7816406,-0.4895534,-2432.0,30716.5,-30846.5,
6.250,6.2579236,-0.9509209,12.399746,-0.6475174,0.0621465232,-0.54737576,14464.0,-20482.5,30849.5,
6.367,4.2252464,-2.2222418,9.847527,-0.35107784,1.72806992,-0.59320736,7040.0,-16386.5,-29054.5,
6.485,0.69619288,-1.3699062,7.058282,0.204896092,2.289906,-0.55670196,-17536.0,-14595.5,-17278.5,
6.603,1.0577173,-1.5351062,5.0016628,0.74821304,1.705687,-0.5216622,16000.0,-22019.5,-15742.5,
6.720,-0.9079222,-1.2525904,3.3161444,1.2468976,0.8607346,-0.4133451,-4224.0,28667.5,-24958.5,
6.841,-3.73547468,-1.0993614,5.15968,1.1483065,-0.27572788,-0.3901629,-14464.0,13563.5,26497.5,
6.958,-3.98447132,3.571726,9.727817,0.011710793,-0.9353558,-0.46690408,-11904.0,3067.5,17793.5,
7.074,-4.1257296,4.866989,11.578534,-0.95821256,-1.3490388,-0.52832368,-4480.0,8443.5,25985.5,
7.191,-0.019673408,3.0258482,12.433265,-1.4149293,-1.6509408,-0.549241,6528.0,25084.5,-25726.5,
7.308,-0.70680936,3.473564,10.996743,-1.5201821,-1.5022547,-0.40588416,21888.0,-19203.5,-13950.5,
7.425,3.6506376,-2.744178,8.894634,-1.0913106,-0.54192392,-0.5451108,-26752.0,4604.5,-11133.5,
7.546,2.8629452,-3.242172,7.1755976,0.0616725,0.58148192,-0.46010926,-23680.0,15612.5,-9341.5,
7.663,2.1183486,-2.8471286,7.652044,1.1822804,1.2036718,-0.3561889,32384.0,10748.5,-9853.5,
7.779,0.8470276,-1.379483,8.748589,1.74784708,1.5679259,-0.3224814,16512.0,-8963.5,-11646.5,
7.895,-1.1856496,0.99317084,9.067017,1.6840294,1.4649382,-0.3331399,-1920.0,32251.5,-24958.5,
8.011,-3.4170456,3.7752332,8.588177,0.9756388,0.73603016,-0.40894848,-16512.0,13051.5,22401.5,
8.132,-4.690761,4.5054644,8.944913,-0.28752656,-0.4857003,-0.4662379,-22912.0,7419.5,12417.5,
8.247,-3.266211,3.2389322,9.945689,-1.2068222,-1.4099255,-0.5259255,-19584.0,17147.5,21889.5,
8.363,-0.16332555,0.9428926,10.6040944,-1.5874638,-1.72714916,-0.54551052,-9600.0,-28676.5,-25214.5,
8.482,2.9156176,-1.829593,10.079764,-1.3796232,-1.3667586,-0.52032984,8064.0,-4099.5,-11390.5,
8.599,3.93554784,-3.1176734,9.447695,-0.6672356,-0.29651196,-0.5039424,20608.0,16892.5,-8573.5,
8.721,2.7121108,-3.2732966,8.791684,0.24153468,0.797583,-0.447852,19072.0,25340.5,-10621.5,
8.838,1.385723,-2.4544794,8.748589,1.1383141,1.4637392,-0.379904068,7552.0,21756.5,-10621.5,
8.955,-0.060374856,-1.1496396,9.05744,1.72626352,1.7271372,-0.33220726,-11648.0,2555.5,-15997.5,
9.073,-1.8272958,0.8375477,9.308831,1.7129404,1.5070393,-0.33167436,-29568.0,-19716.5,-32638.5,
9.189,-3.7330804,3.0497902,9.332773,0.98896192,0.8134375,-0.369512032,22656.0,28411.5,10881.5,
9.306,-4.5758396,4.7855864,9.464455,-0.034120752,-0.25161302,-0.4602425,18304.0,24315.5,-382.5,
