# epoch_start_s=1774192582
0.002,-0.9552865,-4.295198,9.466674,-0.094993868,-0.23901684,-0.26459724,-10880,17920,2303
0.117,-0.78290397,-4.0940848,9.157822,0.1352297,-0.14002604,-0.3348101,-9344,16640,2559
0.234,-0.59855044,-3.892972,9.43076,-0.051027564,-0.384638584,-0.27592188,-6016,14336,6399
0.350,-0.2801216,-3.56257232,9.0429,-0.5190689,-0.46351148,0.026513018,640,13569,6399
0.465,0.220266544,-3.7110126,9.351752,-0.3470674,-0.23541958,-0.243546708,3712,17153,2047
0.585,1.3144168,-3.4380736,9.555259,0.15414854,-0.43686524,-0.26966004,7296,18945,2047
0.739,0.45968672,-2.6886884,9.198523,0.1334977,-0.50001684,-0.20570904,17792,14081,4607
0.855,1.103727,-2.4540568,8.774749,-0.03703828,-0.117376712,-0.24048238,25216,11265,5631
0.971,0.821211136,-2.27928,8.789114,0.0866003,-0.18092802,-0.34360336,29312,9985,5375
1.085,1.6927006,-2.4420858,8.6574332,0.075675348,-0.059021436,-0.2997703,-32384,7169,5631
1.201,1.3455414,-2.2601264,8.540117,-0.030509954,0.11804287,-0.50601224,-27520,3585,5887
1.318,1.87705416,-1.83156432,8.8777,0.3344104,0.0017320062,-0.30270138,-26240,1,7679
1.439,2.3702598,-0.7733272,9.746795,0.22969066,0.103120976,-0.12523736,-24960,-6399,12798
1.557,2.456451,-0.21547816,10.113108,0.36412096,0.11910873,-0.05022818,-27776,-11263,16126
1.674,2.528277,0.07182605,9.844957,0.3253507,0.12696938,0.15414854,-30080,-17407,21758
1.789,1.7621324,0.5722142,9.090784,0.071545176,0.005995406,0.196382852,-31360,-22783,25086
1.905,1.5514428,1.0103531,9.3733,0.23701838,0.34200456,0.24367994,30336,-27647,28926
2.021,0.7661445,0.62009824,8.798691,0.0054624808,0.33387748,0.16387442,26752,32257,31998
2.137,1.1803415,1.2186487,9.28232,0.27658804,0.14988515,-0.07021286,23424,27649,-30978
2.253,1.1683705,1.5035586,9.239224,0.02051761,0.12870138,-0.09952374,19072,20481,-27650
2.368,0.7015011,2.2816742,10.180145,0.074476264,0.198781,-0.09486064,14976,16129,-24322
2.483,-0.15801731,2.2170308,9.662998,-0.0422343,0.22462786,-0.195183768,11136,13569,-24578
2.599,-0.47405192,2.2960394,9.56723,-0.19798162,0.200113316,-0.09006432,7296,11009,-22786
2.719,-0.4285621,2.2050598,9.742006,-0.16467382,0.14775344,-0.02571363,2432,11009,-22018
2.835,-1.1061212,2.2720974,9.205706,-0.27179172,0.10485299,0.028777948,640,9473,-20738
2.952,-0.9959879,2.822764,9.636662,-0.23901684,0.19265238,0.05395865,-1152,7168,-20994
3.066,-1.6304513,2.693477,9.433155,-0.12696938,0.16134304,0.041434916,-4224,7424,-20482
3.182,-1.5035586,2.8634652,9.734824,-0.193318532,0.008526799,0.169470132,-6784,5120,-21506
3.300,-0.8834604,2.72939,9.119514,-0.057422664,-0.13696172,0.18159418,-6272,3328,-21250
3.414,-0.7469909,2.8203698,9.82341,-0.114578868,0.014255743,0.10498622,-4992,512,-23042
3.532,-0.7134721,2.731784,9.469068,-0.32481778,-0.08300307,0.054624808,-7296,0,-21250
3.646,-0.91937348,2.9879636,9.507375,-0.373846836,-0.03557274,0.12590352,-8576,768,-23810
3.762,-2.1308396,3.052607,9.291897,-0.09952374,0.18092802,0.013323124,-10368,1792,-23554
3.877,-3.1411926,2.9759926,8.803479,-0.176797852,0.27898622,0.07527565,-12416,1024,-24578
3.994,-3.2393548,2.669535,9.064447,-0.28644716,0.27112558,0.117376712,-15744,1280,-25090
4.114,-2.6862944,2.6719292,9.425972,-0.13509648,0.40768756,0.034773352,-18304,2560,-25090
4.231,-3.5769374,2.123657,8.99741,-0.23275496,0.25433844,-0.03011026,-21376,1536,-27394
4.347,-2.5761612,2.4708162,9.3661176,-0.25447166,0.003330781,-0.08726646,-25216,4352,-27394
