# epoch_start_s=1774902413
timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0.079,-0.2777274,-0.10773908,10.105926,-0.18012864,-0.0421010736,0.011058193,-8064,2815,-23043
0.198,-0.28491,-0.06464344,10.031705,-0.18106126,-0.042367532,0.0123905052,-7808,3071,-23043
0.313,-0.260968,-0.10295067,10.158598,-0.18479174,-0.045964776,0.010924961,-8576,2815,-22531
0.429,-0.30166942,-0.05746084,10.084377,-0.17972894,-0.043433388,0.0075941808,-7808,3071,-22275
0.545,-0.2753332,-0.08619126,10.163386,-0.18332618,-0.046764164,0.01079173,-8576,3327,-23299
0.666,-0.28491,-0.095768068,10.13705,-0.181993868,-0.04822971,0.0151883616,-8320,3071,-22531
0.781,-0.30406362,-0.08619126,10.115502,-0.182926492,-0.0466309336,0.01079173,-7808,3583,-22019
0.898,-0.2873042,-0.090979668,10.192117,-0.1803951,-0.04623124,0.013456355,-8064,3327,-23811
1.012,-0.25139116,-0.095768068,10.184934,-0.1825268,-0.042367532,0.009059724,-8576,3071,-23811
1.126,-0.25857376,-0.090979668,10.18254,-0.17879632,-0.039169984,0.009592649,-8320,3839,-23811
1.246,-0.2633622,-0.055066636,10.184934,-0.17906278,-0.042633996,0.010924961,-8320,4095,-22787
1.362,-0.31603462,-0.08140286,10.0987424,-0.17919602,-0.044898928,0.01079173,-8576,3327,-23043
1.478,-0.2825158,-0.050278236,10.120291,-0.18119448,-0.042633996,0.009992342,-7808,3327,-22275
1.593,-0.30645782,-0.093373864,10.117896,-0.18212712,-0.0405023,0.012124043,-7552,3071,-22787
1.708,-0.24420858,-0.059855044,10.101137,-0.18012864,-0.044765696,0.009859112,-8064,3071,-22787
1.824,-0.23702596,-0.12689268,10.0748008,-0.18106126,-0.043433388,0.0105252684,-7808,3839,-22531
1.948,-0.24899698,-0.06943185,10.072407,-0.18479174,-0.04396631,0.011058193,-8576,3839,-22275
2.064,-0.31124622,-0.088585464,10.151415,-0.18066156,-0.04196784,0.01292343,-7808,3839,-22531
2.179,-0.28491,-0.055066636,10.156203,-0.18066156,-0.0429004568,0.01079173,-8064,4095,-21763
2.295,-0.31603462,-0.08619126,10.141838,-0.18066156,-0.0495620232,0.006928025,-7808,3839,-23299
2.411,-0.2705448,-0.08619126,10.103531,-0.18159418,-0.04196784,0.009326187,-8064,3839,-22531
2.530,-0.2801216,-0.10773908,10.077195,-0.18106126,-0.045565084,0.009459418,-8064,3839,-22787
2.646,-0.2873042,-0.095768068,10.077195,-0.17972894,-0.03956968,0.009859112,-7808,3583,-23043
2.760,-0.28491,-0.12210429,10.156203,-0.18239356,-0.03956968,0.009326187,-8064,3583,-22531
2.874,-0.31124622,-0.08619126,10.086772,-0.18132772,-0.0443660032,0.010258805,-8320,3583,-23299
2.991,-0.25378536,-0.08379706,10.06283,-0.18132772,-0.04276723,0.0065283304,-8320,4095,-22275
3.105,-0.2801216,-0.1316811,10.0748008,-0.18319296,-0.042633996,0.009592649,-8064,3839,-23043
