# epoch_start_s=1609459202
timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,wind_vane_deg
# wind_vane_deg is blank for the first 270 s, populated for the final 30 s
0.125,-3.73547468,1.6228459,7.240241,3.1804826,1.3719428,0.7069964,25472.0,30716.5,-25214.5,
0.242,-4.712309,6.358577,5.1333436,2.0413556,0.30182952,0.5471189,21376.0,-12547.5,7808.5,
0.358,-4.8296248,7.977057,4.3528336,0.5989941,-0.73777384,0.4320071,29056.0,-29699.5,-16511.5,
0.473,-3.3164892,7.7424252,3.6273908,-0.9422248,-1.5619423,0.31103316,-25728.0,-31491.5,-21375.5,
0.595,-1.0515745,6.4040668,3.1629156,-2.4739844,-2.1140526,0.168076016,-10624.0,-18435.5,-5247.5,
0.713,1.3498099,4.366601,7.30488436,-3.7733886,-1.93312468,-0.003259357,6528.0,12285.5,17025.5,
0.833,3.7488,0.5382725,9.787672,-4.0579704,-0.9895808,-0.08546303,22656.0,-3842.5,28033.5,
0.946,6.1765204,-7.0992312,10.276089,-2.957614,0.370443568,-0.016182788,30080.0,-19458.5,20098.5,
1.064,3.894846,-11.080788,10.865063,-0.497632268,1.6406702,0.16994124,22400.0,13821.5,10883.5,
1.190,1.5293751,-10.690533,8.214682,2.3898886,2.3906288,0.43040836,-1408.0,12796.5,28803.5,
1.308,-2.753852,-5.8710056,8.334392,4.4773556,1.9239198,0.61959668,-31872.0,-26371.5,-14461.5,
1.424,-2.3013478,8.326611,4.78379,4.5479684,0.6550256,0.65543584,16768.0,-30211.5,-25470.5,
1.538,-5.53352,7.416814,5.267419,3.82398936,-0.72751508,0.6052077,20864.0,-24067.5,-11903.5,
1.653,-3.1536834,8.455898,3.749495,1.9215806,-1.6757219,0.438135736,-31360.0,18428.5,-895.5,
1.770,-0.71638616,7.807069,2.7223826,0.07646117,-2.013996,0.21657218,-22400.0,14844.5,-29823.5,
1.892,0.80153776,6.9379736,1.7694902,-1.551225,-1.834267,-0.014584012,-20608.0,14844.5,-25983.5,
2.008,1.9028706,6.176617,2.5476058,-2.906986,-1.1554538,-0.21189948,-20096.0,18428.5,2176.5,
2.124,1.1917926,4.7113656,7.070253,-3.900092,-0.010464504,-0.355922468,-22656.0,-29699.5,-16511.5,
2.241,-0.39556308,1.9197268,9.040681,-3.50173032,1.4887866,-0.26332672,31104.0,14076.5,-30590.5,
2.358,-4.029961,-3.3906124,8.96646,-1.90255568,2.791255,0.040973416,5760.0,-6147.5,-12926.5,
2.480,-7.6619656,-4.8151628,7.300096,0.102441268,2.2920378,0.3645921,-30080.0,14331.5,-25469.5,
2.597,-9.646758,-2.971627,6.047929,1.6103524,0.66861516,0.61320156,15488.0,5115.5,21122.5,
2.712,-9.105669,-0.26617924,5.3703692,2.5057996,-0.846757,0.8109167,15488.0,-19204.5,12161.5,
2.827,-6.862302,2.6834774,4.530005,2.2511944,-0.8722041,0.9091081,28800.0,15611.5,4737.5,
2.942,-4.058692,4.737702,4.343257,0.65148724,0.25586474,0.87420152,-23168.0,-7428.5,-9087.5,
3.057,-4.8775088,4.9459976,4.7023872,-0.79060776,0.105713144,0.78626892,-17536.0,-16900.5,-16511.5,
3.181,-5.0977756,4.0290184,5.051941,-1.8312769,-0.9286942,0.727380736,-11136.0,-14596.5,-3711.5,
3.300,-0.74511656,1.3906083,4.9657492,-2.1041346,-1.68717968,0.7407039,3200.0,508.5,21377.5,
3.418,-1.0515745,-0.8934601,9.488397,-1.76119732,-1.6120373,0.7817391,26752.0,27388.5,-22398.5,
3.534,0.9978623,-2.3611056,11.15955,-1.3898818,-1.4738765,0.798393,-15232.0,-11779.5,-18558.5,
3.649,3.73204068,-1.769738,10.326367,-0.9687379,-1.1467938,0.82623832,3200.0,14333.5,-23933.5,
3.772,3.0209628,-0.82642248,6.375934,-0.6301973,0.05988159,0.82863648,14720.0,-29954.5,-32125.5,
3.887,3.82780868,-3.67791636,7.664015,-0.01613453,1.0612475,0.8739351,9856.0,-16130.5,-31613.5,
4.004,0.7297117,-3.7593196,9.756547,0.991093664,1.4882537,0.94481416,-7040.0,-14851.5,-24445.5,
4.122,-2.1409362,-3.1224618,11.243346,1.86255908,1.2848095,1.0272843,-28800.0,-28931.5,-14973.5,
4.241,-9.673095,9.133457,9.117295,2.19657,0.378437468,1.205681,21632.0,3324.5,-12925.5,
4.362,-4.178402,4.285198,10.491567,1.5366756,-0.6712914,1.0009046,25216.0,-31491.5,-23422.5,
4.477,-2.540768,5.968322,9.979208,0.22727894,-1.3634278,0.87486776,-23168.0,16380.5,32129.5,
4.593,-0.19684434,4.8119224,9.682327,-1.1452694,-1.5130465,0.7093945,-1408.0,19452.5,25985.5,
4.709,1.70894032,2.087321,10.036669,-2.0291254,-1.0871061,0.5866885,17024.0,-25090.5,24449.5,
4.827,6.372845,-4.039441,10.40777,-2.0296584,-0.23908932,0.42521232,27520.0,6141.5,22658.5,
4.942,2.9587136,-4.166334,9.550646,-1.1899018,0.5998678,0.6121357,28032.0,-28418.5,21378.5,
5.062,0.70337544,-4.537435,8.777319,0.15799868,1.2144635,0.737906036,17024.0,-7938.5,26242.5,
5.179,-1.3604264,-3.266114,8.042298,1.3738669,1.1367897,0.8787314,640.0,-7426.5,-28797.5,
5.294,-1.9637654,-0.6755877,8.102154,2.0025852,0.55403624,0.9489443,-14208.0,-25091.5,-15997.5,
5.409,-0.9318643,2.750515,8.454102,1.6543187,-0.11558394,0.89765024,-20096.0,14588.5,-13181.5,
5.525,-1.3269076,4.5078588,9.35911,0.73009368,-0.4162869,0.8107835,-16256.0,-5891.5,-18046.5,
5.646,0.10243088,5.130351,10.247358,-0.28126472,-0.49476004,0.691808036,-7552.0,-12291.5,-24190.5,
5.764,0.923642064,3.80156936,10.235388,-1.2689079,-0.3359484,0.57123376,-384.0,-3331.5,-24958.5,
5.883,1.160668,1.3546953,9.533886,-1.99395232,0.037365516,0.46065184,2432.0,21245.5,-26237.5,
6.000,1.0026507,-0.7689616,9.447695,-1.9266706,0.42959828,0.4297422,-1664.0,-12803.5,-26237.5,
6.115,-0.8959512,-3.47680368,9.670356,-1.077055,0.418007132,0.5403241,-11136.0,14076.5,-32636.5,
6.232,-1.9422174,-4.1806992,9.83795,0.079791952,0.06787547,0.6676932,-21888.0,26108.5,25731.5,
6.352,-2.0140436,-3.49595732,9.926536,1.1990675,-0.35593312,0.7950622,-28032.0,22012.5,29059.5,
6.469,-1.1377656,-2.066619,9.770912,1.9735408,-0.691009636,0.88819084,-25984.0,4348.5,-27516.5,
6.585,-0.1274125,0.13604665,9.157997,2.194438,-0.8961858,0.9120393,-16768.0,-20739.5,-20349.5,
6.699,0.8494218,2.3147702,7.92258836,1.7113416,-0.8404951,0.84355844,-2176.0,19452.5,-22397.5,
6.817,1.8214676,3.3299116,7.036734,0.7071779,-0.43760384,0.7159229,9344.0,4861.5,-30077.5,
6.937,2.6714092,4.8622008,6.962514,-0.5300074,0.21749414,0.5480515,13184.0,1277.5,29058.5,
7.052,2.7839368,4.182247,7.5778236,-1.6039845,0.8725922,0.3994987,8832.0,11773.5,-31357.5,
7.169,2.2380588,1.9029674,8.257777,-2.338355,1.4276335,0.29344664,-3200.0,-29699.5,-24701.5,
7.286,1.196581,-1.2573788,8.54987,-2.4304178,1.582315,0.2813226,-21120.0,5372.5,-26748.5,
7.400,0.80872035,-3.73298332,7.664015,-1.9193428,0.9657208,0.37271924,22144.0,-23043.5,22659.5,
7.519,0.70337544,-5.866217,7.4413544,-0.81339024,-1.2130097,0.66422916,8320.0,-4611.5,3459.5,
7.641,1.75443,-6.8095332,8.109336,0.789648,-2.0846084,0.9165691,9856.0,-6403.5,-4732.5,
7.754,4.0289216,-5.878188,9.090959,2.2078946,-1.80029316,1.0777789,19584.0,-19203.5,7811.5,
7.871,5.551634,-2.8734648,9.823585,2.699651,-1.0292839,1.089903,31872.0,18172.5,32387.5,
7.986,5.685709,1.0314782,10.458048,1.90865716,-0.07961152,0.924563,-27264.0,-12035.5,-19069.5,
8.102,4.5269156,3.4951116,11.319961,0.81642744,0.9535968,0.7427023,-31360.0,-32003.5,-12925.5,
8.223,2.0441284,3.4831408,11.221799,-0.1220534,1.73966116,0.5969474,16000.0,22524.5,-12925.5,
8.341,-0.74990492,2.5350368,10.697469,-0.7433106,1.97774532,0.5182077,-7296.0,20987.5,-14461.5,
8.458,-2.150513,1.3331475,10.041457,-0.969937,1.5943058,0.48996268,-29568.0,25339.5,-24189.5,
8.573,-3.6732254,0.27012192,8.580994,-0.9073183,0.758413,0.55258136,21632.0,-32516.5,29826.5,
8.689,-3.2997298,-0.52235884,6.986456,-0.64938268,-0.2664017,0.61146956,14720.0,-26116.5,22402.5,
8.804,-1.1641018,-0.83599928,6.574653,-0.39837496,-0.92269868,0.6498401,13440.0,-25860.5,23170.5,
8.926,0.24129456,-0.8790949,5.863575,-0.021064088,-1.1661123,0.70353232,20096.0,-29444.5,30594.5,
9.042,0.4424075,-0.51517624,7.92258836,0.31081492,-0.86860684,0.73204384,-31360.0,28667.5,-24701.5,
9.165,0.6507031,0.12168144,10.5801528,0.3226725,-0.54352268,0.7201863,-19072.0,21499.5,-18557.5,
9.282,0.6339436,1.0386608,12.284824,0.15959746,-0.16581214,0.68274824,-14464.0,16635.5,-16253.5,
9.399,1.2827723,2.0250718,13.197015,-0.070626132,0.27371772,0.6483746,-14720.0,11259.5,-17277.5,
9.522,1.5341635,1.5222895,12.529033,-0.34095228,0.6675493,0.60667324,-19840.0,7163.5,-19069.5,
9.639,0.7392885,0.16238287,11.183492,-0.4660564,1.0604482,0.5796273,-26752.0,5371.5,-23677.5,
9.755,-0.75229912,-0.39067772,10.101312,-0.34121876,1.1395875,0.585223,29568.0,7419.5,-30845.5,
9.871,-2.2127624,-0.6540399,9.64402,-0.09114374,0.71218176,0.6182644,19584.0,8443.5,25218.5,
9.984,-4.6476656,0.9428926,9.536281,0.07686086,0.02630732,0.6502399,12928.0,4347.5,20098.5,
10.104,-2.7945532,0.44011028,9.497973,0.034360096,-0.7197876,0.65503616,14208.0,-4868.5,20609.5,
10.220,-1.3604264,0.97162308,10.036669,-0.168950752,-1.198754,0.6459764,24192.0,-13060.5,27521.5,
10.337,0.67464504,1.1176694,10.704651,-0.41223104,-1.1525227,0.6121357,-22656.0,-16900.5,-27774.5,
10.454,2.872522,1.2206199,11.386998,-0.5603841,-0.52700204,0.59681416,-7040.0,-13572.5,-19838.5,
10.571,3.7224638,-0.37870672,11.827532,-0.484842,0.376172536,0.55671156,-640.0,-7172.5,-15742.5,
10.695,2.8557628,-1.3962424,10.781265,-0.0974056,1.3117223,0.57043432,-7296.0,-1284.5,-17790.5,
10.812,0.1407381,-1.94930284,8.95449,0.38342596,1.7620438,0.60414184,-22912.0,-2820.5,-25214.5,
10.928,-2.0882638,-1.2932918,6.9936384,0.9110217,1.4466856,0.66795964,24448.0,-13316.5,25473.5,
11.045,-2.4306344,-0.61812684,6.6033836,1.070233,0.48382336,0.7108601,13952.0,31483.5,5249.5,
11.161,-4.34839,2.3506832,6.4070588,0.6586817,-0.6882118,0.66809284,19072.0,12795.5,-4222.5,
11.276,-3.58703432,3.760868,6.73745836,-0.2301039,-1.5631414,0.57776208,-31616.0,1275.5,-1406.5,
11.400,-1.2000148,3.61961,7.400653,-1.2820978,-1.94817968,0.45385704,-10624.0,7675.5,17537.5,
11.518,0.7416827,1.5653851,7.580218,-1.97623252,-1.5434232,0.3232904,7552.0,25596.5,-28798.5,
11.634,1.72330544,-1.3866656,7.5754296,-1.9991484,-0.13623479,0.22962884,22400.0,-14851.5,-16510.5,
11.753,1.7999198,-3.6803108,8.461284,-1.0606675,1.2497698,0.24988,21888.0,13820.5,-11389.5,
11.869,-0.9198933,-4.6092616,9.191516,0.204629632,1.6090944,0.3679229,4736.0,27644.5,-13437.5,
11.991,-3.82645416,-3.66355132,9.045469,1.3497521,1.1992751,0.48410052,-21120.0,20987.5,-20861.5,
12.110,-5.8854676,-0.4553212,8.798866,1.9029282,0.12476521,0.57936084,-31616.0,-6148.5,-29310.5,
12.226,-4.2214976,2.063379,8.9161824,1.4980384,-0.6638305,0.48543284,-25728.0,29435.5,28033.5,
12.341,-2.9094748,4.2373136,9.201093,0.33492976,-0.7051321,0.28771768,-10368.0,12795.5,23681.5,
12.457,-1.592664,4.062537,10.118072,-0.8993245,-0.4455977,0.09493207,-1408.0,13563.5,25729.5,
12.571,-1.0180554,2.0968978,10.640008,-1.5802693,-0.3355487,-0.011919388,-896.0,26363.5,-30590.5,
12.694,-0.51287896,-0.8934601,10.6998624,-1.6167747,-0.2100449,-0.03137115,640.0,-17411.5,-18302.5,
12.811,-0.20163274,-3.313998,9.983996,-0.8684148,-0.023121468,0.025918282,1920.0,2812.5,-14205.5,
12.927,-0.833702,-4.1112676,9.260947,0.2833693,0.07133948,0.15355382,3200.0,12284.5,-13181.5,
13.041,-1.54478,-3.112885,7.67838,1.4567368,-0.19245838,0.28025672,3456.0,5884.5,-13437.5,
13.155,-1.1281888,-0.6324921,8.19074,1.98766332,-0.434806,0.337546136,7296.0,-13827.5,-18046.5,
13.277,0.1574975,2.3291354,8.451707,1.5777108,-0.413622268,0.28798416,16256.0,21756.5,-31614.5,
13.394,0.5597234,5.16387,9.2106696,0.5325117,-0.2606728,0.15115564,23936.0,1276.5,21633.5,
13.508,0.779989936,4.6754528,9.928929,-0.6118114,0.07946658,0.008598224,30080.0,-5891.5,18048.5,
13.624,0.473532136,2.3746252,10.290454,-1.4652908,0.4619735,-0.10185048,29824.0,4348.5,26497.5,
13.741,0.483108936,0.236603108,10.963224,-1.7879768,0.7452231,-0.14781526,20352.0,27900.5,-25470.5,
13.866,0.047364236,-2.76812,11.439671,-1.4402434,0.9062997,-0.116372668,6272.0,-8707.5,-16510.5,
13.982,-1.2287452,-3.5318704,10.668738,-0.64618504,0.7426917,-0.02404343,-9088.0,9979.5,-17789.5,
14.098,-2.2606464,-3.76650216,9.46206,0.39848108,0.3120883,0.096131144,-20608.0,14331.5,-21117.5,
14.215,-2.4857014,-2.5933432,7.891464,1.4624658,-0.36472636,0.23122762,-23424.0,3323.5,-23933.5,
14.331,-1.7195568,-0.4433502,7.860339,2.0127108,-1.0081,0.31236548,-14976.0,-20996.5,-24958.5,
14.452,-0.2183922,1.87423716,8.36791,1.6910906,-1.2429868,0.27399486,4992.0,14076.5,31105.5,
14.568,0.83266232,5.056131,9.256159,0.6420278,-1.0230219,0.13863191,24704.0,-4611.5,18560.5,
14.684,1.9459662,5.934803,10.412559,-0.6706996,-0.45692236,-0.030704994,-28544.0,-7427.5,13440.5,
14.801,2.0680704,4.0433836,11.255318,-1.7541362,0.23441452,-0.17219658,-27008.0,5884.5,25729.5,
14.918,1.9579372,0.6340406,10.90337,-2.123986,0.85167484,-0.24387496,29312.0,31996.5,-23934.5,
15.033,0.82787392,-3.9987396,10.917735,-1.4092004,1.2846763,-0.1642027,13696.0,-4867.5,-14974.5,
15.156,-0.845673,-5.590884,10.091735,0.19796806,1.4208387,0.014460399,-10112.0,10491.5,-16253.5,
15.273,-1.688432,-4.223795,9.632049,1.5818409,1.111609,0.16594432,-28544.0,1531.5,-24957.5,
15.387,-2.0140436,-0.71868332,9.076593,2.172988,0.6354405,0.23562426,28032.0,-22532.5,27009.5,
15.503,-1.6501248,1.9269094,7.795696,1.89999716,0.21562892,0.21683864,28288.0,14843.5,9089.5,
15.620,-1.4753482,4.292381,6.2729836,0.88330952,-0.23709084,0.09213421,-31872.0,-2820.5,-8575.5,
15.742,-1.1641018,4.5389832,5.4733204,-0.5021621,-0.5760311,-0.06574481,-24704.0,-7172.5,-12159.5,
15.858,-1.307754,3.212596,6.256224,-1.6483505,-0.79932664,-0.200308368,-22912.0,1275.5,897.5,
15.974,-1.3747916,1.2230141,7.5179688,-2.2389646,-1.0338137,-0.2657249,-19328.0,23035.5,24961.5,
16.091,-1.0659397,-1.5853844,8.54987,-1.9717026,-1.1622486,-0.23015218,-14208.0,-11524.5,-21886.5,
