# epoch_start_s=1774910934
timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0.089,0.7273175,-0.10576773,9.9672368,0.013842493,0.13728896,-0.084530408,-19072.0,-25343.5,-19583.5
0.207,1.0672941,0.09773941,12.672685,-0.04744388,-0.21550738,-0.13755645,-20864.0,-24575.5,-18047.5
0.324,0.6363378,-0.172805368,10.108495,0.169456568,-0.42934352,-0.217095508,-16768.0,-17663.5,-20351.5
0.444,0.904488464,-0.196747384,8.774924,0.0761947,-0.36379372,-0.11797146,-5760.0,-19967.5,-29823.5
0.561,1.2109463,0.013942353,8.025539,-0.040515856,-0.23655792,-0.20630378,-1664.0,-25599.5,31360.5
0.684,1.385723,-0.0914025136,7.4030468,-0.04171495,-0.19272484,-0.035368084,-384.0,-28159.5,29824.5
0.801,1.5700765,0.013942353,7.891464,0.17904922,-0.10798977,-0.07174021,1152.0,-28926.5,27776.5
0.918,1.5102215,0.200690092,8.657609,0.1256235,0.22348956,-0.089992892,1408.0,-28926.5,28544.5
1.035,0.87815224,0.15520026,10.36228,0.013709247,0.29423536,-0.05348753,-1152.0,-24063.5,-32383.5
1.151,0.6291552,0.31561178,10.513115,0.030496388,0.185252184,0.041106644,-7296.0,-16895.5,-24703.5
1.275,0.9691319,0.195901692,10.637613,0.07925903,0.217094452,-0.0011276575,-14208.0,-17151.5,-17023.5
1.394,0.70098132,0.3682842,11.054204,-0.044646024,0.16420164,-0.019380336,-18816.0,-24063.5,-13439.5
1.510,0.770413168,0.341948,11.391787,0.030762852,0.019246066,-0.032170536,-21632.0,-26367.5,-11903.5
1.627,0.20059312,0.33715956,11.090117,0.086719976,0.074803496,-0.09425629,-20096.0,-19711.5,-12671.5
1.744,0.6315494,0.29406396,11.274471,0.17838306,-0.05842775,-0.10611387,-17024.0,-18943.5,-19327.5
1.866,0.37536984,0.68671304,9.761335,0.39954692,-0.086273068,-0.015116937,-11648.0,-30719.5,-27519.5
1.982,0.5357814,0.99077668,7.9848376,-0.08794616,-0.434406336,0.03710971,-8832.0,24064.5,32640.5
2.097,1.2037637,0.6412232,8.36791,-0.12032138,-0.3968351,0.003268974,-4992.0,23296.5,30848.5
2.211,1.6107778,0.48799428,7.644861,0.03982258,-0.048568636,-0.017781562,-640.0,23296.5,28032.5
2.328,1.4407896,0.7298087,8.214682,0.0574091,-0.058827436,-0.002726432,896.0,24065.5,26496.5
2.448,0.928430464,0.602916,9.047863,0.047017068,0.07253856,-0.012585543,128.0,26625.5,28800.5
2.564,0.9715261,0.602916,10.438894,-0.08688031,0.19710978,0.07827816,-384.0,-30719.5,31872.5
2.678,1.4192418,0.6292522,10.975196,-0.017733306,0.15434253,-0.054819844,-2944.0,-19455.5,-26495.5
2.796,0.9811029,0.44011028,10.939282,-0.08728002,0.2480041,-0.049224136,-7552.0,-13055.5,-16511.5
2.911,1.0433521,0.5047537,11.425305,-0.0073412808,0.039630444,-0.056018928,-12928.0,-14847.5,-10367.5
3.035,0.93082468,0.56939716,11.123636,-0.0466444936,-0.050167404,-0.039498256,-15488.0,-16895.5,-9855.5
3.153,0.9643434,0.684318836,10.704651,0.178649532,0.2224237,-0.07200668,-12416.0,-13311.5,-13183.5
3.271,0.5357814,0.9285274,11.355874,0.107637288,0.11943596,-0.04989029,-10624.0,-17663.5,-17791.5
3.388,0.554935,0.60052176,9.6488088,0.08125749,-0.1912593,0.013794242,-8832.0,-30719.5,-29311.5
3.503,0.5716944,0.906979568,8.633666,0.006115079,-0.246417,-0.03896533,-7552.0,25600.5,31872.5
3.617,1.2372825,0.6244638,7.204328,0.039289652,-0.32049358,0.02844968,-5248.0,19968.5,29568.5
3.738,1.2492535,0.66516524,7.6951392,-0.059967624,-0.07294995,0.0105966936,-1664.0,19456.5,27520.5
3.856,1.3498099,0.7729043,8.331997,-0.039050324,0.08972539,0.024985668,128.0,20481.5,26752.5
3.972,0.899700032,0.679530436,8.947307,-0.090344352,0.100517116,0.030181684,-1408.0,22784.5,29056.5
4.091,0.933218832,0.3706784,9.064623,-0.3017823,0.181255252,-0.032836696,-2432.0,27392.5,28800.5
4.208,0.58605964,0.41377404,9.890622,-0.089278472,0.26399186,-0.060948484,-4736.0,-27135.5,31872.5
4.331,0.27241918,0.31800598,10.855486,-0.08088492,0.05841605,0.0257850544,-7552.0,-9215.5,-24959.5
4.449,0.45437852,0.3587074,11.049416,-0.096073288,0.024975008,-0.014717244,-14208.0,256.5,-9342.5
4.566,0.4208597,0.30603498,11.681485,-0.01706715,0.06720931,0.006999449,-21376.0,-3583.5,-2687.5
4.681,0.3226974,0.2198437,11.602477,0.09058368,0.014050046,-0.033369616,-19072.0,-1023.5,-4735.5
4.797,0.6171842,0.55982036,11.310384,0.14587465,-0.06642162,0.02312043,-10112.0,-2815.5,-17279.5
4.918,0.5285988,0.43771608,9.766124,0.13348414,-0.3567325,0.0505660668,-7296.0,-25087.5,-31615.5
5.034,0.6004248,0.43771608,8.566628,0.1277552,-0.32635582,0.049233752,-4992.0,28672.5,29312.5
5.149,1.2588303,0.42335084,7.788513,-0.1427042,-0.14422865,-0.0025932006,-3200.0,23808.5,29568.5
5.266,1.4527607,0.375466832,7.860339,-0.012137607,-0.0889377,-0.00339258784,-896.0,24064.5,27520.5
5.384,1.5126157,0.41856244,8.770136,-0.054105444,0.10025066,-0.0047249004,-640.0,23552.5,27264.5
5.508,1.3522041,0.48320588,8.676763,0.010911405,-0.01352882,0.051765144,-640.0,25344.5,27264.5
5.625,1.0361695,0.33237118,9.280101,-0.1301805,-0.010198042,-0.0095212252,640.0,30465.5,26496.5
5.742,1.0074391,0.14801764,10.177927,0.10190833,0.023775928,0.0030025114,1920.0,-22014.5,27264.5
5.861,1.1439086,0.24378572,10.956042,0.028231472,0.3123548,-0.039498256,3712.0,-3070.5,-31359.5
5.978,1.0313811,0.353919,11.418123,-0.16908402,0.22055846,-0.0200464932,-1152.0,9984.5,-11902.5
6.096,1.1175723,0.32518858,11.959212,-0.026793032,0.07347118,-0.015783094,-9600.0,9728.5,-638.5
6.219,0.3203032,0.14322924,11.274471,0.04088843,0.0935891,-0.04682597,-6528.0,12032.5,-7294.5
6.334,0.28439018,0.12407564,10.845909,0.23047648,-0.055629896,-0.016582482,-3456.0,-511.5,-23679.5
6.453,0.4567727,0.28927556,9.256159,0.0887184464,-0.24988104,-0.0015273513,-4480.0,-26623.5,31104.5
6.571,1.2157347,0.5047537,8.312843,0.0983111,-0.20591472,-0.027907136,-5504.0,26624.5,29056.5
6.686,1.2875607,0.32758278,7.910618,-0.13817437,-0.3483389,0.029249064,-3968.0,22784.5,29568.5
6.808,1.2372825,0.32279438,7.783725,0.0043830724,-0.10838947,-0.0016605817,-896.0,22272.5,28544.5
6.926,1.4192418,0.464052268,8.499591,0.07179808,0.15953856,0.0109963852,128.0,22785.5,27008.5
7.044,1.1271491,0.5358783,8.923365,-0.0025449544,-0.016859602,0.05096576,-1152.0,23552.5,27008.5
7.160,1.4407896,0.5071479,8.992797,0.10057603,0.15021238,-0.024976048,-896.0,27648.5,27520.5
7.276,1.1271491,0.7298087,10.13962,-0.21571494,0.09731957,-0.12103577,1920.0,-26366.5,27520.5
7.392,1.3593867,0.7633275,11.980761,-0.06169963,-0.07241703,-0.06707712,2176.0,-3582.5,-27519.5
7.513,0.789566768,0.55742616,10.927312,-0.09420805,0.175792768,-0.021245574,-2432.0,10240.5,-6014.5
7.632,1.1103897,0.4975711,12.2680648,0.0532789368,0.10504699,0.02312043,-12928.0,5376.5,4225.5
7.751,0.7584421,0.4736291,11.691062,0.237138052,-0.06229146,-0.051489064,-8576.0,8192.5,-2174.5
7.868,0.530993,0.6196754,10.4053752,-0.1315128,-0.0034032464,-0.065345116,-384.0,-1279.5,-23167.5
7.984,0.68182768,0.42574504,9.655991,0.026099756,-0.2117769,0.017524716,-1408.0,-25855.5,29056.5
8.105,0.9954681,0.449687068,7.690351,0.20449638,-0.06309084,0.059226096,-2944.0,25600.5,25984.5
8.222,1.814285,0.42095664,7.4126232,-0.15869196,-0.35966356,0.046036204,-384.0,20480.5,26496.5
8.339,1.70894032,0.40419724,7.6711976,0.000785827636,-0.041640616,-0.016316019,2688.0,21505.5,25216.5
8.458,1.8238618,0.4999653,7.987232,-0.030789972,-0.0697524,-0.008055681,3200.0,22273.5,23680.5
8.572,1.8334386,0.42574504,8.774924,-0.210119232,0.4553119,-0.0076559876,5248.0,25857.5,22912.5
8.696,0.9954681,0.0737974,10.369463,-0.27939944,0.4992782,-0.0085886068,3712.0,-28158.5,22912.5
8.811,1.0481405,0.0211249584,11.128425,0.18344586,0.14421697,-0.037233324,1920.0,-4350.5,28800.5
8.930,0.81829716,-0.024364874,10.97759,-0.03332138,0.19844207,-0.07813531,-1920.0,19456.5,-14462.5
9.047,1.0170159,0.12407564,12.394958,0.07153161,0.13688925,-0.03789948,-14976.0,14592.5,1153.5
9.166,0.839845,0.236603108,12.023856,0.05927434,-0.014328208,-0.05655185,-12928.0,14848.5,897.5
9.288,0.5214162,0.49038848,10.577758,0.22621308,0.31555236,-0.03430224,-3456.0,4608.5,-22142.5
9.404,0.602819,0.401803016,9.483608,0.20116562,-0.07694689,0.04057372,-5760.0,-28159.5,31104.5
9.519,0.76801896,0.6077044,8.9640664,0.18397878,-0.14476159,0.09253391,-6528.0,23552.5,29312.5
9.636,1.1319375,0.602916,8.109336,0.008246779,-0.354067868,0.0886702,-5504.0,19200.5,30336.5
9.750,1.5221925,0.6508,7.7933016,-0.09980376,-0.18952728,-0.03803271,-1920.0,18944.5,29312.5
9.865,1.6155662,0.43053344,7.884281,0.011844024,-0.06868655,-0.0019270442,-128.0,19456.5,27520.5
9.987,1.3665693,0.7705101,8.298478,-0.107131464,0.07800104,-0.0064569064,1408.0,19713.5,25728.5
10.104,1.3641751,0.385043616,10.28806,-0.32882828,0.181921416,-0.02710775,3200.0,28417.5,23424.5
10.222,0.9619492,0.43053344,10.515509,-0.12764908,-0.07708012,0.012328698,3712.0,-20734.5,25728.5
10.344,1.3354447,-0.077037304,12.035827,0.13188536,0.4212047,-0.06108171,1408.0,9985.5,-22910.5
10.461,1.1295433,0.11689302,11.554592,0.0226357424,0.14288466,-0.05855032,-14208.0,14080.5,-2174.5
10.586,1.3306563,0.238997316,12.239334,0.068200832,-0.037110752,-0.0008611949,-19328.0,11520.5,1153.5
10.705,0.50226252,0.037884372,10.924917,0.30188844,0.07427057,-0.060415556,-9088.0,14336.5,-10110.5
10.822,0.626761,0.28688132,9.526704,0.236471884,0.100517116,-0.015916326,-2688.0,-15871.5,-30847.5
10.940,1.0385637,0.2174495,8.849145,-0.76476088,-0.38324552,0.194455792,-4992.0,31232.5,28800.5
11.057,1.3689635,-0.8910659,7.338403,-1.717231,-0.2445518,0.12117862,-4224.0,-27903.5,27776.5
11.178,0.79196092,-2.4305374,7.0989832,-1.3472478,-0.32409084,0.21137616,-3456.0,-4607.5,23680.5
11.295,0.169468492,-3.8311456,7.5251512,-0.17574556,0.2957009,0.23255994,-2176.0,11776.5,16769.5
11.414,0.50226252,-3.79523268,9.023921,0.21408904,0.30036396,0.22949562,-5760.0,21504.5,12417.5
11.532,0.10243088,-3.8574816,10.410164,1.2582222,0.303828,0.07707909,-5760.0,-30975.5,10881.5
11.648,0.9643434,-2.0618306,11.17152,1.506432,-0.11824857,-0.19817666,-7808.0,-23039.5,29057.5
11.763,1.0170159,-0.29969804,11.298413,1.3195086,-0.07334965,-0.33886884,-13696.0,22784.5,-14718.5
11.887,0.909276864,1.1296404,11.236164,0.9772376,-0.3435426,-0.26852274,-13440.0,512.5,-8830.5
12.006,0.89491165,2.1256282,9.488397,1.0339941,-0.21017812,-0.0937233664,-5504.0,-30207.5,-18047.5
12.125,1.1558796,3.0090888,9.021527,0.2608532,-0.0010050833,-0.015250169,1152.0,6145.5,30336.5
12.242,1.2827723,2.822341,8.126096,-0.0054760424,0.021510996,0.15648488,1920.0,-6142.5,22655.5
12.358,1.6179604,2.4727876,8.408611,-0.82271656,-0.10332668,0.19378964,2432.0,-5630.5,21375.5
12.480,1.7735836,1.1176694,7.908223,-1.1555281,-0.0192577692,0.187927468,1408.0,5121.5,26240.5
12.599,1.6107778,-0.043518484,8.425371,-1.2915572,0.17219554,0.10718934,128.0,22017.5,28800.5
12.716,1.160668,-1.460886,8.262566,-1.1673857,0.3631159,0.17553696,-1408.0,-24063.5,29824.5
12.830,0.9643434,-2.4472968,9.272919,-0.54106564,0.46796888,0.209377692,-5760.0,-5887.5,27264.5
12.947,0.25326556,-2.7178416,9.560223,0.04115489,0.378437468,0.13530113,-12416.0,9984.5,30593.5
13.070,0.2676308,-2.3706824,11.058992,0.44617784,0.18205464,-0.051755524,-29056.0,32000.5,-22910.5
13.186,0.5693002,-2.255761,12.694233,1.1685576,-0.030315958,-0.25226852,16256.0,-30975.5,-18302.5
13.302,0.4256481,-0.206324184,11.047022,1.2277123,-0.09853035,-0.41267892,9856.0,11264.5,-18302.5
13.420,0.83505656,1.2110431,11.528256,0.90662504,-0.26959926,-0.28304492,2944.0,-2047.5,1152.5
13.538,0.4328307,2.2980108,10.503538,1.0847552,-0.15288868,-0.11370805,30336.0,23296.5,11392.5
13.655,0.4567727,3.2676626,9.253765,0.733557636,-0.26999896,0.13250327,-7808.0,-4607.5,-20864.5
13.778,1.3067143,3.497506,9.090959,0.01197724,-0.24228684,0.2809229,1152.0,-14334.5,23679.5
13.893,1.682604,3.1048568,8.513956,-0.37825704,0.022576846,0.24614952,3968.0,-13822.5,19071.5
14.011,2.0249748,2.5685556,8.592965,-1.0284256,0.08479583,0.12224447,4224.0,-7678.5,21119.5
14.127,1.9746966,1.2852635,8.506774,-1.1624562,0.07746811,0.060158716,3712.0,5377.5,24704.5
14.243,1.69457508,0.09773941,9.263342,-0.8927961,0.119036264,0.055229156,1920.0,20737.5,28288.5
14.367,1.5628939,-1.0921788,9.337562,-0.8457654,0.18511896,0.092933592,1152.0,-30462.5,28288.5
14.483,1.172639,-1.7434018,9.871469,-0.5906277,0.3187499,0.11465029,-1408.0,-16383.5,29056.5
14.598,0.66506824,-2.224636,9.821191,-0.11126162,0.2829107,0.07095044,-7552.0,-1791.5,31360.5
14.712,0.638732,-2.090561,10.570576,0.6626786,0.22468864,-0.055619232,-15488.0,7424.5,-24958.5
14.827,0.70337544,-0.7881152,11.401363,0.997621936,0.16540074,-0.13129458,-29568.0,8448.5,-8062.5
14.945,0.68661608,0.4688407,11.628813,1.0607735,0.04042983,-0.18178922,21376.0,-4351.5,7552.5
15.068,0.36100464,1.2349851,11.082934,0.7977751,-0.00939865,-0.20137422,24192.0,31744.5,10880.5
15.184,0.5956364,2.3435006,10.264118,0.7880492,-0.22589942,-0.031237918,-21120.0,7680.5,-8063.5
15.301,0.49986832,2.9324744,9.6488088,0.48761278,0.09558757,-0.025375742,-10112.0,-4095.5,-27264.5
15.419,0.7225291,2.7313614,9.167574,-0.12684972,-0.12770799,0.08853697,-7296.0,-9471.5,29567.5
15.535,0.66506824,2.5470078,8.885057,-0.5192157,-0.15688562,0.111585976,-6016.0,-8447.5,28287.5
15.659,1.0672941,1.5438373,8.011174,-0.9849921,-0.11052117,0.05549562,-7040.0,256.5,29056.5
15.775,1.2803781,0.238997316,8.456495,-1.0982387,-0.15275547,0.0837406436,-6016.0,14080.5,31872.5
15.895,1.4144534,-0.845576064,8.920971,-0.9985817,-0.04483816,0.11425059,-4736.0,30720.5,30848.5
16.011,0.91167108,-1.9181784,8.492409,-1.0906446,0.20443748,0.17007448,-4224.0,-18687.5,30336.5
16.129,0.66985668,-2.9812038,9.723028,-0.40676856,0.38456612,0.196187816,-6528.0,768.5,29569.5
16.253,-0.065163252,-2.8207924,10.060611,0.411670968,0.29383564,0.035910624,-16512.0,19968.5,-30846.5
16.371,-0.017279208,-2.0881668,10.802814,0.95099108,0.16580042,-0.12929611,-32384.0,32000.5,-17278.5
16.488,0.28439018,-0.864729664,11.135608,1.1512376,-0.0680203968,-0.171130732,13696.0,26880.5,-12414.5
