# epoch_start_s=1774903441
timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
7.070,-0.6895301,1.1061212,10.328587,-0.18186064,-0.09006432,-0.036105668,9600,513,7421
7.191,-0.5722142,1.1971009,10.024523,-0.179862168,-0.036372124,-0.021716694,8320,513,6141
7.309,-0.2633622,1.2162545,9.957485,-0.1931853,-0.105385912,-0.0006661562,6784,-767,6396
7.424,-0.49320556,1.3024458,9.691729,-0.19718222,-0.06315161,-0.018385912,6528,-255,4348
7.539,-0.088585464,1.0965444,9.624691,-0.25913476,-0.082470136,-0.0018652374,5248,-511,5628
7.656,0.01436521,1.0055647,9.91439,-0.244745784,-0.12190658,-0.02051761,4224,-511,6140
7.777,-0.05746084,0.9959879,9.615114,-0.30469984,-0.08806585,-0.019318528,3456,-767,4348
7.891,0.17238252,0.81402856,9.981427,-0.3766447,-0.077407348,-0.03996937,2432,-767,6140
8.005,0.16998832,0.6751649,10.010158,-0.3535957,-0.0976585,-0.026779478,1664,1,5629
8.119,0.16280572,0.46926352,10.120291,-0.2797856,-0.06341807,-0.03330781,896,257,7165
8.234,0.33518824,0.35194764,10.019734,-0.338540568,-0.07674119,-0.0251807024,384,513,7677
8.352,0.090979668,0.24420858,9.849746,-0.32575038,-0.06022052,0.011457887,-384,2048,7677
8.473,0.4405331,0.04309563,10.0508584,-0.34147168,-0.06488361,0.017320062,-128,3072,8957
8.588,0.24899698,-0.1604115,10.04607,-0.35719296,-0.04916233,0.01185758,128,4097,8189
8.702,0.4189853,-0.20111294,9.478644,-0.31629094,-0.040102604,0.007727412,1152,5633,6909
8.817,0.24660278,-0.373495468,9.512163,-0.32481778,-0.015854517,0.019451762,2432,7425,7677
8.934,0.354341868,-0.6703765,9.967062,-0.26672894,-0.028911179,0.008393568,3968,9217,6141
9.051,-0.05267244,-0.78290397,10.228029,-0.29164316,0.0041301684,0.022782542,5504,11521,4861
9.174,-0.035913024,-0.91937348,9.931149,-0.35799232,0.029577336,0.025313934,6016,13569,5373
9.290,-0.035913024,-1.0223241,10.09156,-0.27019296,0.016787136,0.03903675,8576,14849,4349
9.405,0.15322891,-1.2593501,9.813833,-0.29524044,0.02158346,0.04103522,10880,16641,4861
9.520,0.007182605,-1.436521,10.007763,-0.26939356,0.019584992,0.043699844,12160,18433,5117
9.636,-0.220266544,-1.5059528,9.859323,-0.28897856,0.0010658499,0.03144257,13184,20993,5629
9.753,-0.29448682,-1.6065093,9.809045,-0.23728484,0.033840736,0.028644716,15488,22785,8189
9.875,-0.2633622,-1.6232687,9.7084872,-0.22609342,0.054491576,0.023049004,17024,23297,8445
9.991,-0.320823,-1.81959332,9.950302,-0.22995712,0.03996937,0.0053292492,19072,22273,9213
10.106,-0.581791,-1.817199,9.742006,-0.2993706,-0.03450689,0.023448698,19584,22529,11517
10.221,-0.7182605,-1.81001652,9.921572,-0.2490092,-0.0054624808,-0.0010658499,20864,22529,13053
10.339,-0.59855044,-1.9728222,9.751583,-0.2170337,0.014522205,0.02691271,21376,22529,13821
10.460,-0.770933,-1.9369092,9.440337,-0.25780246,0.02251608,0.019052068,23680,20737,15357
10.574,-0.6655881,-2.1212628,9.844957,-0.22569372,0.01612098,-0.0042633996,26496,18177,17149
10.689,-0.7302315,-2.0925324,9.825804,-0.16400766,0.019851454,0.0046630936,26496,17153,20733
10.804,-0.9624691,-2.0135236,10.072407,-0.12736906,-0.018652374,0.0047963244,27008,15873,21757
10.920,-1.0414777,-1.922544,9.557653,-0.1654732,-0.056223584,0.037970904,28288,15873,24317
11.034,-1.1372458,-2.066196,9.940725,-0.14575498,-0.009326187,0.015321592,28800,12289,26365
11.155,-0.8355764,-2.0398598,9.679757,-0.13243185,-0.030643184,0.025580398,31104,12033,30973
11.271,-1.0103531,-2.0111294,9.900024,-0.105252668,-0.00026646248,-0.013056661,-32128,9473,-32003
11.394,-0.9600749,-1.84353532,9.77792,-0.08646707,-0.03530628,-0.0015987749,-31360,5633,-25347
11.509,-1.1683705,-1.685518,10.110714,-0.04822971,0.0784732,0.005995406,-29312,4353,-20227
11.623,-1.127669,-1.5514428,9.794679,-0.04529862,0.066349156,0.018918836,-26752,1537,-13827
11.743,-1.1875241,-1.3742718,9.595961,-0.03011026,0.034906584,0.0233154668,-23168,769,-8963
11.859,-1.2808978,-1.2401965,10.3214032,0.013323124,-0.09406125,-0.0063950996,-22144,1793,-515
11.976,-1.3814544,-0.90979668,10.340557,0.055157732,-0.09006432,0.002264931,-19840,1,5629
12.091,-1.3335704,-0.7613561,10.175357,0.013589587,-0.09073048,0.022382848,-17536,-3327,6908
12.206,-1.3814544,-0.35194764,9.854534,0.064217452,-0.08926493,0.041434916,-14720,-7167,3324
12.321,-1.151611,-0.2896984,9.765948,-0.014122511,0.03237519,0.03850383,-14976,-10751,-5892
12.440,-1.2162545,-0.02873042,9.694122,-0.00013323124,-0.010392036,0.022915774,-15232,-13823,-15620
12.556,-1.1851299,0.02873042,9.763555,-0.084601832,-0.06261868,0.0151883616,-17536,-14079,-24580
12.672,-1.5035586,0.361524436,9.849746,-0.00706125536,-0.043433388,0.018119448,-20864,-14847,-32004
